uid_,uid,manufacturerName,modelName,fixtureName,whCode,serialNumber,fwVersion,errors (not read),errors (total),lamp lifetime (hrs),led engine (w/hrs),fixture lifetime (hrs)
4.35026E+11,435026255307,Clay Paky,A.leda B-Eye K10,S/N AG009854,1.cp_k10_108,,2.25.004,0,6,-,2714,1007
435026258A79,435026258A79,Clay Paky,A.leda B-Eye K10,S/N AG009709,1.cp_k10_105,,2.25.004,0,7,-,104,23
4350262569AB,4350262569AB,Clay Paky,A.leda B-Eye K10,S/N AG009855,1.cp_k10_106,,2.25.004,0,132,-,3318,1955
435026253F04,435026253F04,Clay Paky,A.leda B-Eye K10,S/N AG009652,1.cp_k10_107,,2.25.004,0,7,-,3497,1419
4350262569AE,4350262569AE,Clay Paky,A.leda B-Eye K10,S/N  AG009653,1.cp_k10_102,,2.25.004,0,5,-,2406,912
4350262569CB,4350262569CB,Clay Paky,A.leda B-Eye K10,S/N AG009689,1.cp_k10_101,,2.25.004,0,2,-,3049,1893
435026253F0B,435026253F0B,Clay Paky,A.leda B-Eye K10,S/N AG009651,1.cp_k10_103,,2.25.004,0,9,-,2698,970
435026253CAB,435026253CAB,Clay Paky,A.leda B-Eye K10,S/N AG009680,1.cp_k10_104,,2.25.005,0,3,-,1103,530
43502421EB81,43502421EB81,Clay Paky,A.leda B-Eye K20,S/N AD000812,1.cp_k20b_041,,2.25.002,0,2480,-,15728,9730
43502421B27E,43502421B27E,Clay Paky,A.leda B-Eye K20,S/N AD000797/6,1.cp_k20b_034,,2.25.002,0,5937,-,14833,9757
435024254AE1,435024254AE1,Clay Paky,A.leda B-Eye K20,S/N AG004789,1.cp_k20b_009,,2.25.004,0,161,-,6279,3473
435024254AB4,435024254AB4,Clay Paky,A.leda B-Eye K20,S/N AD000821,1.cp_k20b_002,,2.25.005,0,2,-,11420,7216
43502421B128,43502421B128,Clay Paky,A.leda B-Eye K20,S/N AD000802/6,1.cp_k20b_015,,2.25.002,0,6145,-,14119,9204
